year,gennme,prodnme,state,quarter,totalRXImputed
2017,Zolpidem Tartrate,AMBIEN,ME,1,10
2017,Zolpidem Tartrate,AMBIEN CR,ME,1,10
2017,Zolpidem Tartrate,EDLUAR,ME,1,22
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,ME,1,2331
2017,Eszopiclone,ESZOPICLONE,ME,2,204
2017,Eszopiclone,LUNESTA,ME,2,10
2017,Zaleplon,ZALEPLON,ME,2,93
2017,Zolpidem Tartrate,AMBIEN,ME,2,10
2017,Zolpidem Tartrate,AMBIEN CR,ME,2,10
2017,Zolpidem Tartrate,EDLUAR,ME,2,30
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,ME,2,2343
